branch	sha	relation_to_master
agent/block4-completion-trigger	ca4c5a7fbb81b34f2c4e4adccffb6cbaff753f3c	merged_into_master
agent/block4-file-export	4ffaf9ee5514c0bbc3390de66e4f4d242bff14ab	diverged_from_master
agent/rust-android-final-validation	6ad0f3fdda884868e14f890138c43ab00293ec9e	diverged_from_master
agent/rust-android-storage-block9	de766247012a48a16dcd9341ac267025720b20e9	merged_into_master
agent/rust-clippy-diagnostic	ea18a4bf89d6af6be8141b931cb6e244d4896f51	diverged_from_master
agent/rust-domain-block4-validation	8570ab48ebdde02fc3e820b8dc05fdef371eb98b	diverged_from_master
agent/rust-migration-ci-validation	a0f86f154094b8d1dacc5dcfe9ed4979edd662c2	diverged_from_master
agent/rust-migration-maintenance-diagnostics	e3a4d0b644f83360f90963245e423a677f441394	diverged_from_master
agent/rust-protocol-block5-validation	c4499c2206857feb8a2627575ec5a188b39a35c2	diverged_from_master
agent/rust-storage-block8	d2b06ee46f8a07ca22af4732b76ccf9fc0f3b7a7	diverged_from_master
agent/rust-storage-block9	95a5fccfc83906715441b819000e41c5cc0d9c2a	diverged_from_master
agent/rust-storage-block9-final	427dcd666cdcfaf3656ca974cc614acd75bcd953	diverged_from_master
agent/rust-sync-block6-final-validation	1f43f751a7a76bc263e414cc5b8166ac36d86515	diverged_from_master
agent/rust-sync-block6-final-validation-2	6b69a32c87673252e706d6add8743e0136041417	diverged_from_master
agent/rust-sync-block6-validation	9619c059fe57a8ff30c036f73bf743e262d399b0	diverged_from_master
agent/rust-sync-float-assertion-fix	7c5578da2a0859be3c9aa9a2fe0d9594ad295ac4	diverged_from_master
audit/repository-cleanup-state	8dc0dbd7ca52e61c61b949ec9c4bba827912924b	merged_into_master
audit/repository-cleanup-state-2	8dc0dbd7ca52e61c61b949ec9c4bba827912924b	merged_into_master
audit/repository-cleanup-state-3	8dc0dbd7ca52e61c61b949ec9c4bba827912924b	merged_into_master
audit/repository-cleanup-state-4	8dc0dbd7ca52e61c61b949ec9c4bba827912924b	merged_into_master
audit/repository-cleanup-state-5	8dc0dbd7ca52e61c61b949ec9c4bba827912924b	merged_into_master
docs/rust-sqlite-block7-record	d2d196c87b3ef166c0adcce7c21086fd11bfa5f4	diverged_from_master
docs/rust-sqlite-block7-record-final	d2d196c87b3ef166c0adcce7c21086fd11bfa5f4	diverged_from_master
docs/rust-storage-block8-record	4b8b4bf70bfded6922521f85a87e65786e1f1b25	diverged_from_master
docs/rust-storage-block9-record	5acef6e001f1394cb5f1e61515eafd6dcff27595	diverged_from_master
docs/rust-sync-block6-record	ad7f61fb1680531bf56b8dea2a0bfcc2299e8562	diverged_from_master
docs/rust-sync-block6-record-final	ad7f61fb1680531bf56b8dea2a0bfcc2299e8562	diverged_from_master
feature/rust-sqlite-worker	47e947b4259517938621ee815c334e60d6f66735	diverged_from_master
feature/rust-sqlite-worker-final	47e947b4259517938621ee815c334e60d6f66735	diverged_from_master
feature/rust-sync-ffi-smoke	ac4172a6008317f25aa77b8446d15059cd73870b	diverged_from_master
feature/rust-sync-ffi-smoke-final	fd2df9df50f2fd61cbfce380a80fa95344e73120	diverged_from_master
feature/rust-sync-ffi-smoke-v2	6d30bdf79bc72688a4071ae821a18bf5fecd9dbf	diverged_from_master
master	278f77142cc50252fc12c8921302c83950023907	master
