# name|kind|frame_crc32|payload_crc32|hex
hello|hello|cec0180f|228c3ad1|53445032000200010000001000000029000973657373696f6e2d31000e476f6c64656e2053657373696f6e000b476f6c64656e20486f737401
join_request|join_request|7f33d680|5c76c56c|53445032000200020000001000000035000973657373696f6e2d31000a6c697374656e65722d31000f476f6c64656e204c697374656e6572010006343832393133a08da08e
join_approval|join_approval|89809abd|c8b61127|53445032000200030000001000000018000973657373696f6e2d31000a6c697374656e65722d3101
join_rejection|join_rejection|c5a3a78a|1d058069|5344503200020004000000100000002e000973657373696f6e2d31000a6c697374656e65722d310015686f73742072656a65637465642072657175657374
heartbeat|heartbeat|dbdefd07|04343195|5344503200020005000000100000001f000973657373696f6e2d31000a6c697374656e65722d31000000000012d687
stream_start|stream_start|c048ca3e|e0d3eaf9|53445032000200060000001000000027000973657373696f6e2d31000873747265616d2d3100000000001e84800000bb800002000001e0
pause|pause|6d457da0|937c062e|5344503200020007000000100000001d000973657373696f6e2d31000873747265616d2d3100000000001eab90
stop|stop|14588809|4b58f43d|5344503200020008000000100000001d000973657373696f6e2d31000873747265616d2d3100000000001ed2a0
disconnect|disconnect|73e0dab8|f1f8c4b4|53445032000200090000001000000026000973657373696f6e2d31000a6c697374656e65722d31000d6c697374656e6572206c656674
resync_notice|resync_notice|488d6058|64341252|534450320002000a0000001000000028000973657373696f6e2d31000a6c697374656e65722d31000f706572696f64696320726573796e63
