# name|expected_error|hex
bad_magic|invalid_magic|ac445032000200010000001000000022000973657373696f6e2d31000e4d616c666f726d656420426173650004486f737401
unsupported_version|unsupported_version|53445032000300010000001000000022000973657373696f6e2d31000e4d616c666f726d656420426173650004486f737401
unknown_kind|unsupported_kind|53445032000203e70000001000000022000973657373696f6e2d31000e4d616c666f726d656420426173650004486f737401
unsupported_flags|unsupported_flags|53445032000200018000001000000022000973657373696f6e2d31000e4d616c666f726d656420426173650004486f737401
truncated_header|truncated|534450320002000100000010000000
truncated_payload|length_mismatch|53445032000200010000001000000022000973657373696f6e2d31000e4d616c666f726d656420426173650004486f7374
trailing_byte|trailing_bytes|53445032000200010000001000000022000973657373696f6e2d31000e4d616c666f726d656420426173650004486f73740100
oversized_control|oversized|53445032000200010000001000010001
invalid_boolean|invalid_boolean|53445032000200010000001000000022000973657373696f6e2d31000e4d616c666f726d656420426173650004486f737402
audio_integrity|integrity_mismatch|53445032000200c8000100100000004e000973657373696f6e2d31000873747265616d2d31000000000000002a010000bb80000200000004000000000000001000000000004c4b400010cecee288000102030405060708090a0b0c0d0ef0
unsupported_audio_codec|unsupported_codec|53445032000200c8000100100000004e000973657373696f6e2d31000873747265616d2d31000000000000002aff0000bb80000200000004000000000000001000000000004c4b400010cecee288000102030405060708090a0b0c0d0e0f
